RUN_NAME,Mean,Stdv,Mins,Maxs,Range,STATION_FACTOR,TURB_INT,TREND_CORR_TI
200410210000,81.08,85.08,-77.80,249.30,327.10,999.0,999.0,999.0
200410210010,80.58,84.79,-79.00,240.80,319.80,999.0,999.0,999.0
200410210020,79.39,84.71,-77.30,239.40,316.70,999.0,999.0,999.0
200410210030,77.35,84.67,-81.30,235.20,316.50,999.0,999.0,999.0
200410210040,75.18,85.23,-82.50,243.70,326.20,999.0,999.0,999.0
200410210050,76.44,84.87,-79.10,239.60,318.70,999.0,999.0,999.0
200410210100,64.55,85.76,-97.00,224.50,321.50,999.0,999.0,999.0
200410210110,66.44,85.14,-87.50,228.50,316.00,999.0,999.0,999.0
200410210120,61.33,84.32,-88.30,221.10,309.40,999.0,999.0,999.0
200410210130,67.89,84.66,-86.60,231.30,317.90,999.0,999.0,999.0
200410210140,71.24,84.50,-92.10,233.80,325.90,999.0,999.0,999.0
200410210150,64.31,85.09,-92.90,222.90,315.80,999.0,999.0,999.0
200410210200,67.87,84.76,-84.40,230.40,314.80,999.0,999.0,999.0
200410210210,68.20,85.20,-90.30,228.30,318.60,999.0,999.0,999.0
200410210220,67.87,84.55,-87.90,220.70,308.60,999.0,999.0,999.0
200410210230,63.73,84.70,-86.70,225.80,312.50,999.0,999.0,999.0
200410210240,64.21,85.20,-93.80,226.60,320.40,999.0,999.0,999.0
200410210250,61.23,85.23,-94.80,222.60,317.40,999.0,999.0,999.0
200410210300,64.26,85.36,-89.90,223.40,313.30,999.0,999.0,999.0
200410210310,66.62,83.84,-85.00,225.70,310.70,999.0,999.0,999.0
200410210320,66.97,84.83,-84.40,234.10,318.50,999.0,999.0,999.0
200410210330,65.45,84.57,-86.40,227.50,313.90,999.0,999.0,999.0
200410210340,65.84,84.77,-90.60,224.90,315.50,999.0,999.0,999.0
200410210350,62.13,84.98,-103.50,224.10,327.60,999.0,999.0,999.0
200410210400,67.79,85.05,-87.10,238.80,325.90,999.0,999.0,999.0
200410210410,64.31,85.29,-89.80,215.50,305.30,999.0,999.0,999.0
200410210420,57.10,85.13,-98.70,208.10,306.80,999.0,999.0,999.0
200410210430,65.67,84.75,-89.80,232.20,322.00,999.0,999.0,999.0
200410210440,62.96,85.15,-101.50,222.70,324.20,999.0,999.0,999.0
200410210450,53.84,85.14,-101.40,202.40,303.80,999.0,999.0,999.0
200410210500,57.21,84.31,-89.60,210.50,300.10,999.0,999.0,999.0
200410210510,52.50,85.52,-101.70,207.00,308.70,999.0,999.0,999.0
200410210520,48.23,84.59,-97.80,202.40,300.20,999.0,999.0,999.0
200410210530,55.07,85.72,-97.30,213.40,310.70,999.0,999.0,999.0
200410210540,44.52,84.90,-105.40,203.10,308.50,999.0,999.0,999.0
200410210550,62.24,84.48,-91.20,229.50,320.70,999.0,999.0,999.0
200410210600,61.42,84.56,-105.50,211.60,317.10,999.0,999.0,999.0
200410210610,59.84,84.71,-102.90,211.40,314.30,999.0,999.0,999.0
200410210620,61.59,84.95,-90.70,223.40,314.10,999.0,999.0,999.0
200410210630,62.76,85.25,-96.20,228.60,324.80,999.0,999.0,999.0
200410210640,61.91,84.82,-91.50,215.00,306.50,999.0,999.0,999.0
200410210650,59.14,84.76,-98.90,219.70,318.60,999.0,999.0,999.0
200410210700,60.40,84.32,-97.60,225.80,323.40,999.0,999.0,999.0
200410210710,60.42,84.65,-87.10,219.10,306.20,999.0,999.0,999.0
200410210720,64.77,84.68,-92.30,225.40,317.70,999.0,999.0,999.0
200410210730,65.96,84.70,-94.50,223.20,317.70,999.0,999.0,999.0
200410210740,65.30,84.72,-82.70,224.30,307.00,999.0,999.0,999.0
200410210750,61.03,84.87,-91.80,216.50,308.30,999.0,999.0,999.0
200410210800,61.99,85.00,-93.50,220.60,314.10,999.0,999.0,999.0
200410210810,56.10,85.11,-107.10,215.10,322.20,999.0,999.0,999.0
200410210820,56.91,85.56,-95.50,215.00,310.50,999.0,999.0,999.0
200410210830,52.73,85.03,-102.00,209.00,311.00,999.0,999.0,999.0
200410210840,49.41,84.35,-98.90,203.60,302.50,999.0,999.0,999.0
200410210850,47.02,85.46,-100.90,205.60,306.50,999.0,999.0,999.0
200410210900,42.79,85.90,-106.80,199.90,306.70,999.0,999.0,999.0
200410210910,45.09,85.54,-104.80,208.40,313.20,999.0,999.0,999.0
200410210920,35.42,85.49,-111.50,191.40,302.90,999.0,999.0,999.0
200410210930,37.13,85.48,-117.50,191.80,309.30,999.0,999.0,999.0
200410210940,38.88,85.57,-109.10,190.90,300.00,999.0,999.0,999.0
200410210950,36.70,84.86,-109.90,180.30,290.20,999.0,999.0,999.0
200410211000,35.49,84.87,-107.10,177.20,284.30,999.0,999.0,999.0
200410211010,31.95,84.84,-107.30,176.50,283.80,999.0,999.0,999.0
200410211020,31.00,84.58,-108.30,170.90,279.20,999.0,999.0,999.0
200410211030,33.31,85.40,-108.50,184.60,293.10,999.0,999.0,999.0
200410211040,26.89,85.27,-114.90,171.40,286.30,999.0,999.0,999.0
200410211050,23.61,84.86,-113.30,163.80,277.10,999.0,999.0,999.0
200410211100,18.04,85.04,-113.60,152.50,266.10,999.0,999.0,999.0
200410211110,12.35,85.10,-119.20,144.50,263.70,999.0,999.0,999.0
200410211120,9.80,84.84,-121.20,141.50,262.70,999.0,999.0,999.0
200410211130,12.09,84.62,-123.00,153.90,276.90,999.0,999.0,999.0
200410211140,12.77,84.23,-124.50,150.30,274.80,999.0,999.0,999.0
200410211150,14.00,84.98,-129.30,164.50,293.80,999.0,999.0,999.0
200410211200,13.45,85.00,-127.00,156.50,283.50,999.0,999.0,999.0
200410211210,12.83,84.41,-131.30,159.10,290.40,999.0,999.0,999.0
