RUN_NAME,Mean,Stdv,Mins,Maxs,Range,STATION_FACTOR,TURB_INT,TREND_CORR_TI
200410210000,5.12,12.09,-42.40,52.70,95.10,999.0,999.0,999.0
200410210010,6.19,11.28,-52.40,60.80,113.20,999.0,999.0,999.0
200410210020,5.74,11.58,-50.20,58.80,109.00,999.0,999.0,999.0
200410210030,5.78,11.80,-54.90,57.50,112.40,999.0,999.0,999.0
200410210040,6.01,11.33,-46.70,56.50,103.20,999.0,999.0,999.0
200410210050,5.63,11.93,-53.40,57.10,110.50,999.0,999.0,999.0
200410210100,4.00,11.86,-58.90,57.10,116.00,999.0,999.0,999.0
200410210110,5.39,12.46,-57.80,61.80,119.60,999.0,999.0,999.0
200410210120,6.52,12.20,-46.40,53.90,100.30,999.0,999.0,999.0
200410210130,6.28,12.14,-44.30,55.90,100.20,999.0,999.0,999.0
200410210140,5.63,12.54,-55.90,62.00,117.90,999.0,999.0,999.0
200410210150,3.63,11.31,-45.40,52.60,98.00,999.0,999.0,999.0
200410210200,0.97,12.00,-50.50,53.30,103.80,999.0,999.0,999.0
200410210210,3.15,12.47,-49.50,61.30,110.80,999.0,999.0,999.0
200410210220,5.96,12.00,-48.80,58.10,106.90,999.0,999.0,999.0
200410210230,2.88,12.05,-50.90,54.70,105.60,999.0,999.0,999.0
200410210240,3.62,11.33,-55.30,49.30,104.60,999.0,999.0,999.0
200410210250,6.63,12.07,-54.50,52.90,107.40,999.0,999.0,999.0
200410210300,5.70,11.72,-44.10,52.00,96.10,999.0,999.0,999.0
200410210310,7.10,12.19,-62.80,60.70,123.50,999.0,999.0,999.0
200410210320,3.03,11.42,-49.20,46.70,95.90,999.0,999.0,999.0
200410210330,5.50,12.32,-42.90,58.20,101.10,999.0,999.0,999.0
200410210340,3.80,13.33,-48.00,63.40,111.40,999.0,999.0,999.0
200410210350,7.46,12.22,-40.90,56.70,97.60,999.0,999.0,999.0
200410210400,5.31,11.94,-47.80,60.90,108.70,999.0,999.0,999.0
200410210410,3.51,11.46,-48.10,54.70,102.80,999.0,999.0,999.0
200410210420,7.39,12.73,-40.80,61.40,102.20,999.0,999.0,999.0
200410210430,6.02,13.02,-57.60,62.40,120.00,999.0,999.0,999.0
200410210440,1.00,11.76,-51.80,50.50,102.30,999.0,999.0,999.0
200410210450,3.47,11.19,-49.80,52.40,102.20,999.0,999.0,999.0
200410210500,5.08,12.33,-43.70,53.10,96.80,999.0,999.0,999.0
200410210510,6.31,11.80,-56.40,62.90,119.30,999.0,999.0,999.0
200410210520,5.09,11.60,-48.10,53.20,101.30,999.0,999.0,999.0
200410210530,0.61,11.78,-47.70,58.70,106.40,999.0,999.0,999.0
200410210540,2.45,11.47,-53.20,48.70,101.90,999.0,999.0,999.0
200410210550,8.37,11.99,-40.40,57.80,98.20,999.0,999.0,999.0
200410210600,8.03,11.64,-47.10,53.00,100.10,999.0,999.0,999.0
200410210610,5.73,11.65,-46.50,53.40,99.90,999.0,999.0,999.0
200410210620,3.01,11.44,-52.30,54.80,107.10,999.0,999.0,999.0
200410210630,4.47,11.47,-48.00,60.50,108.50,999.0,999.0,999.0
200410210640,2.40,11.40,-48.70,47.70,96.40,999.0,999.0,999.0
200410210650,4.06,12.16,-46.60,58.80,105.40,999.0,999.0,999.0
200410210700,6.84,11.76,-54.90,61.60,116.50,999.0,999.0,999.0
200410210710,5.72,11.38,-50.20,53.00,103.20,999.0,999.0,999.0
200410210720,8.57,12.06,-41.10,67.70,108.80,999.0,999.0,999.0
200410210730,5.47,11.99,-44.80,54.50,99.30,999.0,999.0,999.0
200410210740,3.41,12.01,-44.60,57.40,102.00,999.0,999.0,999.0
200410210750,2.27,11.84,-45.80,67.30,113.10,999.0,999.0,999.0
200410210800,2.17,12.31,-49.30,61.60,110.90,999.0,999.0,999.0
200410210810,358.29,11.46,-60.00,45.10,105.10,999.0,999.0,999.0
200410210820,1.96,10.82,-50.60,48.20,98.80,999.0,999.0,999.0
200410210830,4.06,11.09,-47.10,48.20,95.30,999.0,999.0,999.0
200410210840,3.62,12.01,-67.80,55.30,123.10,999.0,999.0,999.0
200410210850,2.53,11.32,-52.20,46.10,98.30,999.0,999.0,999.0
200410210900,4.82,11.04,-52.40,49.70,102.10,999.0,999.0,999.0
200410210910,4.72,12.06,-49.20,52.00,101.20,999.0,999.0,999.0
200410210920,0.88,11.71,-48.00,44.20,92.20,999.0,999.0,999.0
200410210930,5.57,12.26,-46.70,51.10,97.80,999.0,999.0,999.0
