RUN_NAME,Mean,Stdv,Mins,Maxs,Range,STATION_FACTOR,TURB_INT,TREND_CORR_TI
200410210000,14.09,1.61,9.55,20.61,11.06,999.0,11.4,11.4
200410210010,14.10,1.50,9.32,19.32,10.00,999.0,10.7,10.7
200410210020,13.38,1.32,9.40,17.74,8.34,999.0,9.8,9.8
200410210030,13.40,1.69,8.28,18.58,10.30,999.0,12.6,12.6
200410210040,13.42,1.51,8.68,18.93,10.25,999.0,11.2,11.2
200410210050,13.73,1.59,8.79,18.78,9.99,999.0,11.6,11.6
200410210100,11.78,1.49,6.78,17.25,10.47,999.0,12.6,12.6
200410210110,11.98,1.47,6.68,17.24,10.56,999.0,12.2,12.2
200410210120,11.42,1.39,7.31,16.92,9.60,999.0,12.1,12.1
200410210130,12.54,1.54,7.57,16.70,9.13,999.0,12.3,12.3
200410210140,13.33,1.60,7.47,19.23,11.76,999.0,12.0,12.0
200410210150,12.42,1.53,7.59,18.12,10.54,999.0,12.3,12.3
200410210200,12.94,1.50,7.41,18.35,10.94,999.0,11.6,11.6
200410210210,13.02,1.62,7.78,18.74,10.96,999.0,12.4,12.4
200410210220,12.72,1.44,8.31,17.00,8.69,999.0,11.3,11.3
200410210230,11.93,1.35,7.87,16.76,8.89,999.0,11.3,11.3
200410210240,12.11,1.35,8.56,17.78,9.23,999.0,11.1,11.1
200410210250,11.41,1.53,7.07,16.49,9.42,999.0,13.4,13.4
200410210300,11.68,1.34,7.10,16.19,9.10,999.0,11.5,11.5
200410210310,12.15,1.29,7.78,16.46,8.69,999.0,10.6,10.6
200410210320,12.44,1.44,7.78,17.53,9.75,999.0,11.6,11.6
200410210330,12.46,1.35,8.81,17.40,8.59,999.0,10.8,10.8
200410210340,12.76,1.67,6.72,18.48,11.76,999.0,13.1,13.1
200410210350,12.19,1.38,8.00,16.28,8.28,999.0,11.3,11.3
200410210400,13.32,1.51,8.52,18.54,10.03,999.0,11.3,11.3
200410210410,12.95,1.75,7.49,18.46,10.97,999.0,13.5,13.5
200410210420,11.74,1.53,7.13,16.57,9.44,999.0,13.0,13.0
200410210430,12.73,1.55,7.63,17.80,10.16,999.0,12.1,12.1
200410210440,12.68,1.72,7.99,18.44,10.45,999.0,13.5,13.5
200410210450,11.36,1.32,7.43,16.53,9.10,999.0,11.6,11.6
200410210500,11.79,1.43,7.46,16.89,9.42,999.0,12.1,12.1
200410210510,10.95,1.55,6.37,15.69,9.32,999.0,14.1,14.1
200410210520,10.34,1.34,5.82,16.02,10.20,999.0,12.9,12.9
200410210530,11.08,1.27,7.37,16.03,8.66,999.0,11.5,11.5
200410210540,10.07,1.37,5.80,14.89,9.09,999.0,13.6,13.6
200410210550,12.42,1.53,8.05,17.66,9.61,999.0,12.3,12.3
200410210600,12.06,1.47,7.56,17.57,10.01,999.0,12.2,12.2
200410210610,11.87,1.43,7.26,16.60,9.34,999.0,12.0,12.0
200410210620,12.18,1.51,7.69,17.32,9.64,999.0,12.4,12.4
200410210630,12.68,1.52,7.80,18.30,10.50,999.0,12.0,12.0
200410210640,12.48,1.38,7.72,16.54,8.82,999.0,11.0,11.0
200410210650,12.23,1.60,7.84,18.33,10.49,999.0,13.1,13.1
200410210700,12.31,1.43,7.97,17.60,9.63,999.0,11.6,11.6
200410210710,12.25,1.40,7.96,17.09,9.13,999.0,11.4,11.4
200410210720,12.81,1.37,8.85,17.25,8.40,999.0,10.7,10.7
200410210730,12.64,1.32,7.61,17.12,9.51,999.0,10.5,10.5
200410210740,11.80,1.20,7.75,15.30,7.56,999.0,10.2,10.2
200410210750,11.67,1.28,7.39,15.74,8.35,999.0,11.0,11.0
200410210800,11.88,1.25,7.72,16.27,8.54,999.0,10.6,10.6
200410210810,11.19,1.32,6.35,15.64,9.28,999.0,11.8,11.8
200410210820,11.55,1.30,7.55,16.19,8.64,999.0,11.3,11.3
200410210830,11.00,1.33,7.50,15.72,8.22,999.0,12.1,12.1
200410210840,10.61,1.30,6.89,14.84,7.95,999.0,12.2,12.2
200410210850,10.22,1.43,6.49,14.30,7.81,999.0,14.0,14.0
200410210900,9.67,1.44,5.04,13.69,8.64,999.0,14.9,14.9
200410210910,9.93,1.24,6.07,13.95,7.88,999.0,12.4,12.4
200410210920,8.73,1.32,4.87,12.56,7.69,999.0,15.1,15.1
200410210930,9.05,1.44,5.71,14.10,8.39,999.0,15.9,15.9
200410210940,9.30,1.07,6.17,12.44,6.26,999.0,11.5,11.5
200410210950,9.03,1.14,5.84,12.42,6.58,999.0,12.6,12.6
200410211000,9.00,0.93,5.99,12.06,6.07,999.0,10.4,10.4
200410211010,8.56,1.01,5.39,12.00,6.61,999.0,11.8,11.8
200410211020,8.42,0.89,5.32,11.55,6.23,999.0,10.6,10.6
200410211030,8.86,0.92,6.49,12.09,5.61,999.0,10.4,10.4
200410211040,8.13,0.92,5.18,11.05,5.87,999.0,11.3,11.3
200410211050,7.80,0.80,5.48,10.27,4.79,999.0,10.3,10.3
200410211100,6.96,0.79,4.76,9.21,4.45,999.0,11.3,11.3
200410211110,6.18,0.63,4.35,8.39,4.04,999.0,10.1,10.1
200410211120,5.97,0.68,3.90,8.43,4.53,999.0,11.4,11.4
200410211130,6.57,0.71,4.25,9.01,4.76,999.0,10.8,10.8
200410211140,6.37,0.70,3.75,8.38,4.63,999.0,11.1,11.1
200410211150,6.40,0.84,3.37,10.48,7.11,999.0,13.1,13.1
200410211200,6.28,0.97,4.00,9.91,5.91,999.0,15.4,15.4
200410211210,5.93,0.80,3.76,9.39,5.64,999.0,13.5,13.5
200410211220,7.19,1.28,3.77,11.23,7.47,999.0,17.8,17.8
200410211230,7.41,1.08,3.98,11.32,7.34,999.0,14.6,14.6
200410211240,7.73,1.31,3.85,12.31,8.45,999.0,16.9,16.9
200410211250,10.74,1.87,5.87,16.22,10.34,999.0,17.4,17.4
200410211300,11.32,2.33,5.41,17.86,12.45,999.0,20.6,20.6
200410211310,13.37,2.49,6.39,21.13,14.74,999.0,18.6,18.6
200410211320,12.91,2.59,6.78,20.94,14.16,999.0,20.1,20.1
200410211330,12.33,2.05,6.84,18.66,11.81,999.0,16.6,16.6
200410211340,11.44,1.91,5.63,17.22,11.59,999.0,16.7,16.7
200410211350,12.54,2.12,6.95,18.51,11.56,999.0,16.9,16.9
200410211400,11.72,1.99,6.31,17.59,11.27,999.0,16.9,16.9
200410211410,13.17,2.22,6.76,19.69,12.93,999.0,16.9,16.9
200410211420,13.38,2.03,7.54,20.20,12.66,999.0,15.2,15.2
200410211430,14.03,1.85,8.26,19.52,11.26,999.0,13.2,13.2
200410211440,12.42,1.85,7.37,17.83,10.45,999.0,14.9,14.9
200410211450,12.53,2.19,7.09,19.02,11.93,999.0,17.5,17.5
200410211500,11.67,1.93,5.55,17.53,11.97,999.0,16.5,16.5
200410211510,11.71,2.53,4.52,19.00,14.48,999.0,21.6,21.6
200410211520,11.97,2.02,6.62,18.41,11.79,999.0,16.9,16.9
200410211530,11.32,2.04,4.97,16.23,11.26,999.0,18.0,18.0
200410211540,9.93,1.48,5.95,14.27,8.32,999.0,14.9,14.9
200410211550,11.45,1.75,6.03,17.95,11.92,999.0,15.3,15.3
200410211600,8.89,1.53,4.48,13.25,8.77,999.0,17.2,17.2
200410211610,11.37,1.71,6.44,17.29,10.85,999.0,15.0,15.0
200410211620,9.42,1.89,5.00,16.40,11.39,999.0,20.1,20.1
200410211630,8.62,1.51,5.14,13.43,8.30,999.0,17.5,17.5
200410211640,8.24,1.41,3.54,12.41,8.87,999.0,17.1,17.1
200410211650,9.97,2.32,4.87,17.72,12.85,999.0,23.3,23.3
200410211700,9.79,2.27,4.78,16.87,12.09,999.0,23.2,23.2
200410211710,9.20,1.54,4.47,14.78,10.32,999.0,16.7,16.7
200410211720,9.99,1.91,4.56,15.55,10.99,999.0,19.1,19.1
200410211730,8.03,1.35,4.30,12.57,8.27,999.0,16.8,16.8
200410211740,8.00,1.40,4.33,11.82,7.49,999.0,17.5,17.5
200410211750,7.39,1.23,4.41,11.95,7.54,999.0,16.7,16.7
200410211800,6.73,1.22,3.49,10.52,7.03,999.0,18.2,18.2
200410211810,7.31,1.27,3.79,12.67,8.88,999.0,17.4,17.4
200410211820,7.38,1.29,4.02,12.42,8.40,999.0,17.5,17.5
200410211830,7.89,1.41,4.50,12.76,8.26,999.0,17.9,17.9
200410211840,7.09,1.23,4.52,13.04,8.52,999.0,17.3,17.3
200410211850,7.46,1.29,4.25,11.55,7.30,999.0,17.3,17.3
200410211900,7.02,1.03,3.71,10.33,6.62,999.0,14.7,14.7
200410211910,7.67,1.09,4.52,11.42,6.90,999.0,14.2,14.2
200410211920,6.93,0.97,4.20,10.34,6.14,999.0,14.1,14.1
200410211930,7.19,0.99,4.68,10.80,6.12,999.0,13.7,13.7
200410211940,7.14,0.98,4.21,10.24,6.03,999.0,13.7,13.7
200410211950,6.99,0.97,4.59,10.24,5.64,999.0,13.9,13.9
200410212000,7.91,1.25,4.50,12.24,7.74,999.0,15.8,15.8
200410212010,8.43,1.29,5.12,13.78,8.66,999.0,15.3,15.3
200410212020,8.33,1.22,5.33,13.15,7.82,999.0,14.6,14.6
200410212030,7.88,1.23,4.81,12.38,7.57,999.0,15.6,15.6
200410212040,8.17,1.22,4.41,12.60,8.19,999.0,14.9,14.9
200410212050,8.04,1.25,3.97,12.26,8.30,999.0,15.5,15.5
200410212100,7.96,1.18,4.41,11.25,6.84,999.0,14.9,14.9
200410212110,8.47,1.09,4.92,11.51,6.59,999.0,12.9,12.9
200410212120,8.60,1.23,4.15,12.38,8.24,999.0,14.3,14.3
200410212130,8.53,1.36,4.78,12.61,7.83,999.0,16.0,16.0
200410212140,7.89,1.33,4.16,11.90,7.74,999.0,16.9,16.9
200410212150,8.23,1.37,4.66,11.88,7.22,999.0,16.7,16.7
200410212200,8.89,1.45,5.11,13.38,8.27,999.0,16.3,16.3
200410212210,9.04,1.32,4.85,13.46,8.61,999.0,14.6,14.6
200410212220,8.57,1.26,4.39,13.06,8.67,999.0,14.7,14.7
200410212230,8.56,1.36,4.42,13.28,8.86,999.0,15.9,15.9
200410212240,8.81,1.35,4.52,12.52,8.00,999.0,15.3,15.3
200410212250,8.16,1.24,4.24,12.48,8.24,999.0,15.2,15.2
200410212300,8.05,1.38,4.64,12.09,7.45,999.0,17.2,17.2
200410212310,9.13,1.39,3.86,12.94,9.08,999.0,15.2,15.2
200410212320,9.23,1.31,4.64,13.24,8.60,999.0,14.1,14.1
200410212330,8.12,1.38,4.74,12.81,8.07,999.0,17.0,17.0
200410212340,8.03,1.55,2.96,12.99,10.03,999.0,19.4,19.4
200410212350,7.94,1.37,4.56,12.45,7.89,999.0,17.3,17.3
200411161010,9.58,1.03,6.43,12.73,6.31,999.0,10.7,10.7
200411161410,11.75,0.93,7.93,14.53,6.60,999.0,7.9,7.9
200411161420,11.53,1.14,7.78,15.04,7.26,999.0,9.9,9.9
200411170400,4.98,0.24,4.10,5.79,1.68,999.0,4.7,4.7
200411170410,4.94,0.24,4.13,5.78,1.65,999.0,4.9,4.9
200411170420,4.90,0.39,3.46,6.07,2.60,999.0,7.9,7.9
200411170430,4.50,0.26,3.62,5.40,1.77,999.0,5.8,5.8
200411170440,5.15,0.35,3.91,6.23,2.32,999.0,6.7,6.7
200411170450,5.18,0.31,4.06,6.20,2.14,999.0,5.9,5.9
200411170500,4.89,0.32,3.92,5.79,1.87,999.0,6.5,6.5
200411170510,4.48,0.25,3.68,5.19,1.51,999.0,5.5,5.5
200411170520,4.40,0.35,3.26,5.39,2.13,999.0,8.0,8.0
200411170530,3.23,0.56,1.81,4.72,2.91,999.0,17.3,17.3
200411170540,2.68,0.37,1.81,3.92,2.11,999.0,13.8,13.8
200411170550,3.57,0.32,2.54,4.44,1.90,999.0,9.1,9.1
200411170600,3.17,0.31,2.30,4.11,1.80,999.0,9.8,9.8
200411170610,3.62,0.39,2.62,4.68,2.07,999.0,10.7,10.7
200411170620,3.83,0.40,2.60,5.24,2.64,999.0,10.4,10.4
200411170630,3.95,0.41,2.87,5.09,2.23,999.0,10.5,10.5
200411170640,3.50,0.23,2.71,4.05,1.34,999.0,6.5,6.5
200411170650,3.56,0.28,2.71,4.38,1.67,999.0,7.8,7.8
200411170700,3.96,0.22,3.11,4.68,1.57,999.0,5.6,5.6
200411170710,4.15,0.25,3.26,5.02,1.75,999.0,6.0,6.0
200411170720,4.27,0.23,3.40,5.00,1.60,999.0,5.5,5.5
200411170730,4.38,0.21,3.61,5.07,1.46,999.0,4.7,4.7
